meter_name,account_number,label,zone,parent_meter,type,month,year,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31
IRR Tank Z08,4300294,Irrigation Tank 04 - (Z08),Direct Conn.,Main Bulk (NAMA) C43659,IRR_Services,Jan-26,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.97
Building Security,4300297,Building (Security),Direct Conn.,Main Bulk (NAMA) C43659,MB_Common,Jan-26,2026,0.84,0.84,0.86,0.93,0.96,0.85,0.82,0.84,0.85,0.89,0.88,0.98,1.03,1.02,0.75,0.73,0.8,0.92,0.87,0.86,0.92,1.0,0.84,0.92,1.0,0.89,0.9,0.84,0.8,0.8,0.85
Building ROP,4300299,Building (ROP),Direct Conn.,Main Bulk (NAMA) C43659,MB_Common,Jan-26,2026,0.91,0.94,0.92,1.12,1.01,0.91,0.96,1.05,1.12,1.05,1.14,1.26,1.28,1.3,0.93,0.78,0.97,1.01,0.94,0.94,1.02,1.16,1.1,1.24,1.29,1.22,1.19,1.17,0.86,0.79,0.9
IRR Tank 01 Inlet,4300323,Irrigation Tank 01 (Inlet),Direct Conn.,Main Bulk (NAMA) C43659,IRR_Services,Jan-26,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hotel Main Building,4300334,"Hotel 2, Main Building",Direct Conn.,Main Bulk (NAMA) C43659,Retail,Jan-26,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35824.0
Community Mgmt / STP,4300336,"Community Mgmt - Technical Zone, STP",Direct Conn.,Main Bulk (NAMA) C43659,MB_Common,Jan-26,2026,1.75,0.81,1.0,1.72,1.33,0.5,0.27,0.65,0.96,1.09,1.57,1.66,1.87,1.58,3.16,0.64,1.07,1.07,2.42,2.02,1.3,1.35,0.44,1.17,2.36,0.86,2.48,0.58,0.82,0.92,1.06
Main Entrance Phase 02,4300338,"PHASE 02, MAIN ENTRANCE (Infrastructure)",Direct Conn.,Main Bulk (NAMA) C43659,MB_Common,Jan-26,2026,0.96,1.07,1.01,1.32,0.97,1.07,0.94,0.87,0.88,0.38,0.04,0.13,0.21,0.22,0.17,0.16,2.54,0.3,0.15,0.05,0.24,0.15,0.16,0.14,0.14,0.05,0.38,0.05,0.16,0.25,0.34
Irrigation Controller UP,4300340,Irrigation- Controller UP,Direct Conn.,Main Bulk (NAMA) C43659,IRR_Services,Jan-26,2026,4.5,7.8,4.4,0.5,1.1,7.5,1.1,3.6,4.3,1.1,0.5,1.2,6.9,3.7,3.8,0.0,4.1,4.0,0.0,10.0,10.0,0.6,0.5,0.6,16.2,1.1,3.3,7.9,4.3,3.3,6.5
Irrigation Controller DOWN,4300341,Irrigation- Controller DOWN,Direct Conn.,Main Bulk (NAMA) C43659,IRR_Services,Jan-26,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Adrak Camp,4300348,Zen (3C) – Construction Area,Direct Conn.,Main Bulk (NAMA) C43659,Retail,Jan-26,2026,42.2,4.4,25.7,23.8,16.6,29.7,37.1,40.9,2.7,11.7,54.6,39.6,30.2,20.2,29.0,4.6,20.1,28.4,38.5,46.8,30.9,46.1,4.8,17.9,26.5,24.7,30.5,21.6,45.4,5.1,33.1
Al Adrak Accommodation,4300349,Zen (3C) – Camp Area,Direct Conn.,Main Bulk (NAMA) C43659,Retail,Jan-26,2026,40.4,47.3,36.0,41.2,41.4,40.7,19.2,28.9,44.5,42.7,46.2,45.3,44.9,44.6,46.0,58.1,42.5,48.7,43.9,44.8,46.1,42.7,51.6,44.0,43.5,48.0,44.5,42.8,43.3,56.1,41.7
